exposure	condition.1	condition.2	rg	rg.SE	partial_rg	partial_rg.SE	diff.T	diff.P	q	delta_rg	prop_atten	prop_atten_flag	class
ApoB	alc_problems	cataract	0.197127	0.042118	0.197303	0.042083	-0.295064	0.767945	0.950528	-0.000176	-0.000891	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	cholelithiasis	0.145423	0.041000	0.145466	0.041081	-0.076990	0.938632	0.982519	-0.000043	-0.000296	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	coronary_heart	0.190946	0.034339	0.190574	0.034621	0.098016	0.921919	0.978211	0.000373	0.001951	OK	A_persistent
ApoB	alc_problems	deaf	0.082251	0.042650	0.082067	0.042648	0.320509	0.748582	0.946279			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	depression	0.331181	0.038448	0.331224	0.038496	-0.126613	0.899247	0.973059	-0.000043	-0.000131	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	diabetes_type_2	0.136204	0.035429	0.135683	0.035761	0.257048	0.797142	0.955878	0.000520	0.003820	OK	A_persistent
ApoB	alc_problems	diverticuli	0.211523	0.038052	0.211344	0.038076	0.296365	0.766951	0.950166	0.000179	0.000847	OK	A_persistent
ApoB	alc_problems	enthesopathy_lower	0.193022	0.073808	0.193850	0.073846	-0.403916	0.686274	0.924081	-0.000827	-0.004285	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	enthesopathy_shoulder	0.229638	0.046196	0.229258	0.046244	0.196312	0.844366	0.963605	0.000379	0.001651	OK	A_persistent
ApoB	alc_problems	enthesopathy_upper	0.259103	0.055861	0.259117	0.056165	-0.003503	0.997205	0.999887	-0.000014	-0.000052	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	essential_tremor	0.007973	0.088258	0.007743	0.088487	0.212505	0.831713	0.961231			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	female_genital_prolapse	0.140876	0.047719	0.140689	0.047706	0.303535	0.761482	0.948592	0.000187	0.001325	OK	A_persistent
ApoB	alc_problems	fibromatosis	0.177934	0.047788	0.177739	0.047840	0.257993	0.796412	0.955694	0.000195	0.001097	OK	A_persistent
ApoB	alc_problems	fibromyalgia	0.342996	0.087010	0.343089	0.087088	-0.131599	0.895301	0.972105	-0.000092	-0.000269	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	gastritis_duodenitis	0.375384	0.061864	0.375436	0.062133	-0.019745	0.984247	0.995936	-0.000052	-0.000138	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	glaucoma	-0.024140	0.046012	-0.023929	0.046002	-0.317983	0.750497	0.946293			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	gout	0.139922	0.039515	0.139343	0.039671	0.242370	0.808493	0.958390	0.000579	0.004137	OK	A_persistent
ApoB	alc_problems	hypertension	0.212327	0.032356	0.213971	0.032600	-0.533581	0.593631	0.870823	-0.001644	-0.007741	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	hyperthyroid	0.065924	0.065116	0.065923	0.065110	0.001418	0.998868	1.000000			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	hypothyroid	0.082974	0.034632	0.083138	0.034710	-0.272574	0.785180	0.954197	-0.000164	-0.001977	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	insomnia	0.457422	0.090610	0.457905	0.090738	-0.264517	0.791382	0.955193	-0.000483	-0.001057	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	intervert_disc	0.274312	0.044275	0.274015	0.044387	0.219510	0.826253	0.960505	0.000297	0.001085	OK	A_persistent
ApoB	alc_problems	isch_stroke_tia	0.353812	0.090072	0.354660	0.090323	-0.400896	0.688497	0.924902	-0.000848	-0.002397	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	migraine	0.039574	0.041777	0.038899	0.042152	0.319512	0.749338	0.945871			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	osteoporosis	0.210208	0.051997	0.210967	0.052062	-0.424498	0.671203	0.915025	-0.000759	-0.003608	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	periph_neuro	0.376443	0.086100	0.376671	0.086407	-0.076485	0.939033	0.982457	-0.000228	-0.000607	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	peripheral_arterial	0.514563	0.092031	0.518088	0.092960	-0.550850	0.581737	0.865120	-0.003525	-0.006850	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	pri_bladder	0.223847	0.099392	0.225155	0.099377	-0.438283	0.661181	0.909345	-0.001308	-0.005844	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	pri_breast	0.075930	0.037981	0.075670	0.038051	0.318530	0.750083	0.946010			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	pri_colorectal	0.070886	0.059157	0.069865	0.059603	0.254565	0.799059	0.956715			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	pri_prost	-0.015437	0.052550	-0.016607	0.052795	0.368205	0.712720	0.936434			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	pri_skin	-0.008098	0.042233	-0.008165	0.042235	0.163793	0.869894	0.967558			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	psoriasis	0.194964	0.059385	0.194762	0.059522	0.295275	0.767784	0.950486	0.000202	0.001035	OK	A_persistent
ApoB	alc_problems	raynauds	0.123582	0.096997	0.125277	0.097256	-0.446700	0.655092	0.906910			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	retinal_detach	0.000974	0.072726	0.001498	0.072642	-0.354592	0.722896	0.938965			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	schizo	0.221564	0.037738	0.221629	0.037730	-0.185382	0.852929	0.965617	-0.000065	-0.000292	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	scoliosis	0.160839	0.083843	0.160597	0.083917	0.241398	0.809246	0.958673			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	sinusitis	0.238963	0.098286	0.240529	0.098783	-0.501005	0.616367	0.884593	-0.001566	-0.006554	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	sleep_apnoea	0.111331	0.041014	0.110694	0.041146	0.260317	0.794620	0.954927	0.000637	0.005723	OK	A_persistent
ApoB	alc_problems	spondylolisthesis	0.238733	0.100492	0.238380	0.100585	0.212277	0.831891	0.961213	0.000353	0.001478	OK	A_persistent
ApoB	alc_problems	spondylosis	0.395812	0.066808	0.395733	0.066854	0.037975	0.969707	0.990976	0.000078	0.000197	OK	A_persistent
ApoB	alc_problems	stroke_all	0.258401	0.069024	0.258691	0.069342	-0.227069	0.820370	0.960857	-0.000290	-0.001124	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	tendon	0.191353	0.053210	0.190888	0.053430	0.166025	0.868138	0.967554	0.000465	0.002431	OK	A_persistent
ApoB	alc_problems	thromboembolic	0.090846	0.045641	0.091141	0.045721	-0.310685	0.756040	0.947114			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	tinnitus	0.191837	0.072707	0.193281	0.073204	-0.465367	0.641668	0.899518	-0.001444	-0.007525	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	ulc_colitis	0.089739	0.047833	0.090387	0.047934	-0.391570	0.695376	0.928538			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	ulcer_peptic	0.384656	0.061417	0.384747	0.061930	-0.033765	0.973065	0.991552	-0.000091	-0.000237	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	urine_incont	0.247754	0.059670	0.248098	0.059715	-0.355843	0.721958	0.938810	-0.000344	-0.001389	FLAG_OUT_OF_RANGE	A_persistent
ApoB	alc_problems	urolithiasis	0.043754	0.049922	0.043044	0.049915	0.320745	0.748404	0.946375			unstable_baseline	F_unstable_lowpower
ApoB	alc_problems	valve_nonrheumatic	0.246344	0.058741	0.246572	0.058863	-0.220579	0.825420	0.960585	-0.000228	-0.000924	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	BPH	0.163168	0.043566	0.164138	0.043541	-0.541496	0.588166	0.868531	-0.000970	-0.005947	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	CKD	0.002176	0.047687	0.002131	0.047701	0.077847	0.937950	0.982357			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	COPD	0.251725	0.039277	0.251207	0.039238	0.277481	0.781411	0.953034	0.000517	0.002055	OK	A_persistent
ApoB	allergic_rhinitis	ED	0.074678	0.071341	0.074880	0.071319	-0.197782	0.843215	0.963398			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	GORD	0.301438	0.035370	0.301153	0.035745	0.099878	0.920441	0.977825	0.000285	0.000947	OK	A_persistent
ApoB	allergic_rhinitis	HF	0.018726	0.043029	0.019519	0.043029	-0.453081	0.650490	0.904571			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	IBS	0.446915	0.040588	0.447985	0.040390	-0.599537	0.548815	0.845509	-0.001070	-0.002394	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	IDA	0.092817	0.062836	0.092203	0.062837	0.393360	0.694053	0.927769			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	OA	0.270506	0.035687	0.270259	0.035652	0.393803	0.693727	0.927748	0.000247	0.000914	OK	A_persistent
ApoB	allergic_rhinitis	PMR	0.092000	0.083324	0.091760	0.083416	0.246672	0.805162	0.957639			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	RA	0.194435	0.048044	0.194378	0.048060	0.107948	0.914037	0.976168	0.000058	0.000297	OK	A_persistent
ApoB	allergic_rhinitis	TIA	0.122605	0.059835	0.122098	0.059873	0.385974	0.699516	0.930400	0.000506	0.004130	OK	A_persistent
ApoB	allergic_rhinitis	anxiety	0.266407	0.039427	0.267027	0.039479	-0.508874	0.610841	0.881498	-0.000620	-0.002326	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	asthma	0.699470	0.033713	0.699497	0.033729	-0.099240	0.920948	0.978085	-0.000027	-0.000039	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	b12_def	0.171654	0.075424	0.171028	0.075588	0.362164	0.717229	0.937896	0.000626	0.003646	OK	A_persistent
ApoB	allergic_rhinitis	bursitis	0.364632	0.078545	0.364406	0.078642	0.295592	0.767542	0.950424	0.000227	0.000622	OK	A_persistent
ApoB	allergic_rhinitis	carpal_tunnel	0.160190	0.037802	0.159661	0.037833	0.385639	0.699764	0.930564	0.000529	0.003303	OK	A_persistent
ApoB	allergic_rhinitis	cataract	0.139310	0.036557	0.139519	0.036544	-0.339203	0.734457	0.941919	-0.000208	-0.001496	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	cholelithiasis	0.041099	0.039267	0.041141	0.039227	-0.072569	0.942149	0.983508			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	coronary_heart	0.025106	0.030336	0.023503	0.030866	0.450202	0.652565	0.905767			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	deaf	0.093056	0.036784	0.092831	0.036719	0.414685	0.678372	0.919503	0.000226	0.002423	OK	A_persistent
ApoB	allergic_rhinitis	depression	0.259063	0.030015	0.259115	0.030008	-0.135152	0.892492	0.971743	-0.000052	-0.000201	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	diabetes_type_2	0.061626	0.031568	0.060824	0.031810	0.433020	0.665000	0.912074			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	diverticuli	0.117410	0.028428	0.117161	0.028448	0.397788	0.690786	0.925310	0.000250	0.002125	OK	A_persistent
ApoB	allergic_rhinitis	enthesopathy_lower	0.396955	0.069185	0.398173	0.069028	-0.640941	0.521561	0.825440	-0.001218	-0.003067	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	enthesopathy_shoulder	0.275638	0.043709	0.275170	0.043923	0.272390	0.785322	0.954136	0.000468	0.001698	OK	A_persistent
ApoB	allergic_rhinitis	enthesopathy_upper	0.307923	0.050842	0.307886	0.050979	0.010893	0.991309	0.998205	0.000037	0.000121	OK	A_persistent
ApoB	allergic_rhinitis	essential_tremor	0.026123	0.082754	0.025843	0.082925	0.283120	0.777085	0.952197			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	female_genital_prolapse	0.148215	0.038141	0.147986	0.038251	0.368155	0.712757	0.936236	0.000229	0.001546	OK	A_persistent
ApoB	allergic_rhinitis	fibromatosis	0.004627	0.045569	0.004332	0.045578	0.346630	0.728869	0.940497			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	fibromyalgia	0.323319	0.069767	0.323438	0.069819	-0.142914	0.886358	0.969454	-0.000120	-0.000370	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	gastritis_duodenitis	0.320359	0.044354	0.320034	0.044721	0.135521	0.892200	0.971567	0.000325	0.001016	OK	A_persistent
ApoB	allergic_rhinitis	glaucoma	0.105312	0.037116	0.105607	0.037162	-0.393963	0.693608	0.927673	-0.000296	-0.002807	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	gout	0.019963	0.037071	0.018906	0.037357	0.449718	0.652914	0.905914			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	hypertension	0.038911	0.031443	0.040293	0.031416	-0.520202	0.602923	0.876092			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	hyperthyroid	-0.022645	0.068715	-0.022657	0.068793	0.017195	0.986281	0.996507			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	hypothyroid	0.067746	0.042845	0.067947	0.042728	-0.309413	0.757007	0.947610			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	insomnia	0.268771	0.081713	0.269274	0.081955	-0.332691	0.739368	0.943672	-0.000503	-0.001871	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	intervert_disc	0.239414	0.035770	0.238972	0.035843	0.350498	0.725965	0.939677	0.000442	0.001845	OK	A_persistent
ApoB	allergic_rhinitis	isch_stroke_tia	0.115049	0.070915	0.115821	0.070974	-0.426005	0.670104	0.914363			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	migraine	0.189738	0.041355	0.189131	0.041560	0.334255	0.738187	0.942892	0.000606	0.003195	OK	A_persistent
ApoB	allergic_rhinitis	osteoporosis	0.093476	0.047372	0.094262	0.047368	-0.485023	0.627660	0.891702			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	periph_neuro	0.113458	0.068130	0.112454	0.068408	0.341412	0.732794	0.941244			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	peripheral_arterial	0.050297	0.070236	0.048378	0.070605	0.377765	0.705605	0.933585			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	pri_bladder	0.000414	0.083156	0.001467	0.083070	-0.437385	0.661832	0.909317			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	pri_breast	0.025593	0.035066	0.025252	0.035077	0.405974	0.684762	0.923713			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	pri_colorectal	-0.061172	0.052188	-0.063239	0.052429	0.572375	0.567068	0.855335			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	pri_prost	0.038833	0.050085	0.037588	0.049973	0.427512	0.669006	0.914623			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	pri_skin	0.022104	0.041480	0.022026	0.041626	0.153556	0.877960	0.968367			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	psoriasis	0.105071	0.063387	0.104791	0.063499	0.359544	0.719188	0.938153			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	raynauds	-0.035907	0.085291	-0.034565	0.085575	-0.423725	0.671766	0.915208			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	retinal_detach	-0.037365	0.062567	-0.036752	0.062712	-0.436097	0.662767	0.910099			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	schizo	0.055440	0.031536	0.055501	0.031532	-0.177477	0.859134	0.966185			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	scoliosis	0.077131	0.070022	0.076795	0.069934	0.312598	0.754586	0.947203			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	sinusitis	0.561396	0.073095	0.564039	0.073662	-0.720704	0.471092	0.784977	-0.002643	-0.004709	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	sleep_apnoea	0.191407	0.039078	0.190745	0.038726	0.312190	0.754896	0.947193	0.000662	0.003456	OK	A_persistent
ApoB	allergic_rhinitis	spondylolisthesis	0.285546	0.085116	0.285113	0.085162	0.299083	0.764877	0.949806	0.000434	0.001519	OK	A_persistent
ApoB	allergic_rhinitis	spondylosis	0.362627	0.049761	0.362315	0.049946	0.172248	0.863242	0.966287	0.000311	0.000859	OK	A_persistent
ApoB	allergic_rhinitis	stroke_all	0.147508	0.056064	0.147834	0.055922	-0.306028	0.759583	0.948605	-0.000326	-0.002210	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	tendon	0.379226	0.051987	0.379097	0.052087	0.054887	0.956228	0.987762	0.000130	0.000342	OK	A_persistent
ApoB	allergic_rhinitis	thromboembolic	0.186112	0.047523	0.186507	0.047629	-0.350609	0.725881	0.939732	-0.000395	-0.002122	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	tinnitus	0.189455	0.063796	0.191127	0.063251	-0.599382	0.548918	0.845580	-0.001673	-0.008829	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	ulc_colitis	0.140569	0.051488	0.141405	0.051500	-0.519069	0.603712	0.876129	-0.000836	-0.005951	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	ulcer_peptic	0.159972	0.063435	0.159182	0.063802	0.306376	0.759318	0.948432	0.000790	0.004937	OK	A_persistent
ApoB	allergic_rhinitis	urine_incont	0.164228	0.045241	0.164620	0.045151	-0.383008	0.701714	0.931578	-0.000392	-0.002387	FLAG_OUT_OF_RANGE	A_persistent
ApoB	allergic_rhinitis	urolithiasis	0.087312	0.050200	0.086496	0.050516	0.407449	0.683678	0.922919			unstable_baseline	F_unstable_lowpower
ApoB	allergic_rhinitis	valve_nonrheumatic	0.095674	0.054300	0.095922	0.054336	-0.261550	0.793669	0.954938			unstable_baseline	F_unstable_lowpower
ApoB	anxiety	BPH	0.179819	0.030894	0.178781	0.030802	0.841738	0.399935	0.722091	0.001037	0.005769	OK	A_persistent
ApoB	anxiety	CKD	0.020858	0.035803	0.020943	0.035994	-0.078938	0.937082	0.982207			unstable_baseline	F_unstable_lowpower
ApoB	anxiety	COPD	0.365694	0.027952	0.368082	0.028041	-1.076494	0.281706	0.599777	-0.002388	-0.006530	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	ED	0.308048	0.063468	0.307877	0.063531	0.132819	0.894336	0.971906	0.000171	0.000556	OK	A_persistent
ApoB	anxiety	GORD	0.493499	0.024430	0.498004	0.024503	-1.505168	0.132281	0.391642	-0.004505	-0.009128	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	HF	0.144671	0.037379	0.143587	0.037391	0.794047	0.427168	0.746493	0.001083	0.007489	OK	A_persistent
ApoB	anxiety	IBS	0.622264	0.034171	0.621882	0.034229	0.615641	0.538132	0.837793	0.000381	0.000613	OK	A_persistent
ApoB	anxiety	IDA	0.237010	0.045442	0.238505	0.045737	-0.714322	0.475028	0.787751	-0.001495	-0.006307	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	OA	0.228914	0.023914	0.229625	0.024097	-0.675275	0.499501	0.807849	-0.000710	-0.003102	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	PMR	0.186256	0.061187	0.186797	0.061220	-0.311088	0.755734	0.947367	-0.000541	-0.002904	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	RA	0.274357	0.035687	0.274618	0.035797	-0.223059	0.823490	0.960663	-0.000261	-0.000950	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	TIA	0.313253	0.050428	0.314588	0.050696	-0.584626	0.558799	0.851476	-0.001335	-0.004262	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	asthma	0.299979	0.031069	0.300236	0.031241	-0.336209	0.736713	0.942543	-0.000257	-0.000856	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	b12_def	0.227997	0.061677	0.229898	0.061906	-0.668828	0.503605	0.810880	-0.001901	-0.008338	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	bursitis	0.228263	0.061502	0.229017	0.061624	-0.433164	0.664896	0.912015	-0.000754	-0.003302	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	carpal_tunnel	0.130996	0.029060	0.132303	0.029141	-0.888040	0.374519	0.694970	-0.001307	-0.009979	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	cataract	0.164670	0.029921	0.164442	0.029985	0.283759	0.776595	0.952302	0.000228	0.001384	OK	A_persistent
ApoB	anxiety	cholelithiasis	0.145282	0.028229	0.145279	0.028553	0.002363	0.998115	1.000000	0.000002	0.000017	OK	A_persistent
ApoB	anxiety	coronary_heart	0.187396	0.024986	0.191389	0.025247	-1.273413	0.202872	0.502127	-0.003992	-0.021305	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	deaf	0.175223	0.027673	0.175729	0.027584	-0.565297	0.571872	0.859450	-0.000506	-0.002891	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	depression	0.836898	0.022140	0.837206	0.022197	-0.432785	0.665171	0.911972	-0.000308	-0.000369	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	diabetes_type_2	0.103703	0.025625	0.105400	0.025990	-0.959430	0.337342	0.659729	-0.001696	-0.016359	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	diverticuli	0.291837	0.025870	0.292469	0.025980	-0.672483	0.501277	0.809491	-0.000632	-0.002165	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	enthesopathy_lower	0.361274	0.053771	0.360513	0.053806	0.632847	0.526834	0.829646	0.000762	0.002109	OK	A_persistent
ApoB	anxiety	enthesopathy_shoulder	0.339800	0.030769	0.341944	0.031211	-0.926015	0.354438	0.676136	-0.002144	-0.006308	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	enthesopathy_upper	0.308066	0.038177	0.312826	0.038612	-1.315427	0.188366	0.481905	-0.004760	-0.015451	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	essential_tremor	0.093738	0.063514	0.094271	0.063256	-0.341370	0.732825	0.941041			unstable_baseline	F_unstable_lowpower
ApoB	anxiety	female_genital_prolapse	0.169095	0.032225	0.169636	0.032339	-0.561196	0.574664	0.860524	-0.000541	-0.003196	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	fibromatosis	0.076248	0.033309	0.076786	0.033327	-0.507426	0.611856	0.882194	-0.000538	-0.007060	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	fibromyalgia	0.615597	0.055811	0.615729	0.055832	-0.113888	0.909327	0.975119	-0.000132	-0.000214	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	gastritis_duodenitis	0.559378	0.031999	0.563213	0.032300	-1.283465	0.199329	0.497822	-0.003835	-0.006855	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	glaucoma	0.097404	0.028432	0.097006	0.028513	0.530767	0.595581	0.871710	0.000397	0.004080	OK	A_persistent
ApoB	anxiety	gout	0.024168	0.025274	0.026078	0.025398	-0.930343	0.352193	0.674009			unstable_baseline	F_unstable_lowpower
ApoB	anxiety	hypertension	0.218394	0.022552	0.216974	0.022833	0.729677	0.465587	0.780428	0.001420	0.006503	OK	A_persistent
ApoB	anxiety	hyperthyroid	0.109527	0.045828	0.109585	0.045974	-0.046609	0.962825	0.988891	-0.000058	-0.000530	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	hypothyroid	0.159181	0.025362	0.158941	0.025516	0.290680	0.771296	0.951044	0.000240	0.001510	OK	A_persistent
ApoB	anxiety	insomnia	0.637977	0.068767	0.637746	0.068758	0.273481	0.784484	0.954439	0.000230	0.000361	OK	A_persistent
ApoB	anxiety	intervert_disc	0.375525	0.029429	0.377068	0.029664	-0.915351	0.360007	0.682220	-0.001543	-0.004109	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	isch_stroke_tia	0.260584	0.053579	0.259774	0.053683	0.592335	0.553626	0.848188	0.000809	0.003106	OK	A_persistent
ApoB	anxiety	migraine	0.414785	0.027584	0.417083	0.027872	-1.308273	0.190781	0.485002	-0.002298	-0.005540	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	osteoporosis	0.232518	0.032231	0.231644	0.032209	0.743788	0.457005	0.772555	0.000873	0.003756	OK	A_persistent
ApoB	anxiety	periph_neuro	0.246046	0.053977	0.249414	0.054508	-0.974647	0.329736	0.650570	-0.003369	-0.013692	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	peripheral_arterial	0.265270	0.056323	0.272323	0.057721	-1.242697	0.213979	0.517843	-0.007054	-0.026591	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	pri_bladder	0.113247	0.064750	0.111748	0.064900	0.764275	0.444704	0.762305			unstable_baseline	F_unstable_lowpower
ApoB	anxiety	pri_breast	0.056269	0.027888	0.056891	0.027932	-0.727662	0.466820	0.781178	-0.000622	-0.011045	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	pri_colorectal	-0.000615	0.049020	0.002290	0.049827	-0.961756	0.336172	0.658996			unstable_baseline	F_unstable_lowpower
ApoB	anxiety	pri_prost	0.039873	0.034283	0.042339	0.034400	-0.976993	0.328573	0.649221			unstable_baseline	F_unstable_lowpower
ApoB	anxiety	pri_skin	0.024507	0.031817	0.024655	0.031898	-0.174104	0.861784	0.965742			unstable_baseline	F_unstable_lowpower
ApoB	anxiety	psoriasis	0.172717	0.034471	0.173342	0.034577	-0.515167	0.606436	0.878201	-0.000625	-0.003618	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	raynauds	0.188379	0.060801	0.186693	0.061087	0.685712	0.492895	0.802562	0.001686	0.008949	OK	A_persistent
ApoB	anxiety	retinal_detach	-0.010524	0.049728	-0.011621	0.049664	0.626564	0.530945	0.833041			unstable_baseline	F_unstable_lowpower
ApoB	anxiety	schizo	0.440108	0.023085	0.440196	0.023095	-0.180748	0.856566	0.965774	-0.000089	-0.000201	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	scoliosis	0.173328	0.053699	0.174050	0.053659	-0.410948	0.681111	0.921289	-0.000723	-0.004169	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	sinusitis	0.460422	0.067981	0.459757	0.068134	0.449071	0.653381	0.905887	0.000666	0.001446	OK	A_persistent
ApoB	anxiety	sleep_apnoea	0.249523	0.029447	0.251967	0.029704	-1.052697	0.292480	0.610510	-0.002444	-0.009793	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	spondylolisthesis	0.208273	0.058555	0.209892	0.058993	-0.687790	0.491585	0.801918	-0.001619	-0.007774	FLAG_OUT_OF_RANGE	A_persistent
ApoB	anxiety	spondylosis	0.466844	0.038610	0.469511	0.038766	-1.080797	0.279787	0.597483	-0.002666	-0.005711	FLAG_OUT_OF_RANGE	A_persistent
