pair_id	disease1	disease2	baseline	BMI	SBP	ApoB	FG	SMK	SLEEP	JOINT
bursitis_CKD	bursitis	CKD	0.16323715814834797	0.116696	0.165563	0.163217	0.150197	0.149964	0.163726	0.12476377434738048
bursitis_COPD	bursitis	COPD	0.3203986092882162	0.278608	0.321092	0.319761	0.305754	0.178762	0.298274	0.1339513096582384
bursitis_coronary_heart	bursitis	coronary_heart	0.18537268468105347	0.137919	0.192833	0.184173	0.173138	0.12432	0.171954	0.0914290000837213
bursitis_deaf	bursitis	deaf	0.10143768904288057	0.089072	0.102883	0.101153	0.106844	0.059731	0.101147	0.06212150865809734
bursitis_depression	bursitis	depression	0.20863344860561647	0.193855	0.208862	0.208702	0.200439	0.125896	0.186312	0.10207284718366261
bursitis_diabetes_type_2	bursitis	diabetes_type_2	0.18597457366837483	0.098385	0.190028	0.185131	0.135397	0.148483	0.188409	0.06911071988265818
bursitis_diverticuli	bursitis	diverticuli	0.2255675704214696	0.20203	0.225784	0.22529	0.214828	0.192201	0.220229	0.1720194071941661
bursitis_ED	bursitis	ED	0.20661847939504766	0.150554	0.206877	0.206918	0.175793	0.125649	0.178704	0.050464034572184534
bursitis_enthesopathy_lower	bursitis	enthesopathy_lower	0.7050156136815464	0.692229	0.708597	0.706867	0.70174	0.676399	0.685947	0.6642476842525583
bursitis_enthesopathy_shoulder	bursitis	enthesopathy_shoulder	0.6592604616317188	0.643401	0.659435	0.659206	0.652683	0.628749	0.639696	0.6006231552757408
bursitis_enthesopathy_upper	bursitis	enthesopathy_upper	0.7646016156634103	0.754494	0.764579	0.766696	0.76164	0.740663	0.741705	0.7155320864217841
bursitis_essential_tremor	bursitis	essential_tremor	-0.035634899568814736	-0.047486	-0.035831	-0.036016	-0.02701	-0.035561	-0.072167	-0.07020312568494623
bursitis_female_genital_prolapse	bursitis	female_genital_prolapse	0.28637758372787847	0.28056	0.287022	0.286136	0.279362	0.275771	0.290113	0.27364362368262424
bursitis_fibromatosis	bursitis	fibromatosis	0.0571651148123414	0.072822	0.057261	0.056808	0.060578	0.02871	0.061869	0.04762330669740402
bursitis_fibromyalgia	bursitis	fibromyalgia	0.5530818395287005	0.529413	0.554217	0.553306	0.550368	0.500375	0.522835	0.4657816824203646
bursitis_gastritis_duodenitis	bursitis	gastritis_duodenitis	0.5282563124793853	0.503668	0.528463	0.528225	0.521885	0.476535	0.506929	0.4453876585178419
bursitis_glaucoma	bursitis	glaucoma	0.044045905082460916	0.053728	0.043437	0.044404	0.035704	0.057371	0.054038	0.06526331133132089
bursitis_GORD	bursitis	GORD	0.41971304027993084	0.387814	0.419974	0.419516	0.408804	0.36595	0.401433	0.33094002668153477
bursitis_gout	bursitis	gout	0.2700400720289069	0.213107	0.27495	0.269269	0.251037	0.249116	0.261622	0.2101001581001481
bursitis_HF	bursitis	HF	0.2576360174028761	0.184447	0.273857	0.258953	0.235588	0.187563	0.227008	0.11958075168489708
bursitis_hypertension	bursitis	hypertension	0.20808685949213157	0.146769	0.288914	0.210346	0.183433	0.171745	0.199731	0.18485220541630107
bursitis_hyperthyroid	bursitis	hyperthyroid	0.048039133126741095	0.036451	0.04707	0.048039	0.025554	0.022752	0.067368	0.02347498300279463
bursitis_hypothyroid	bursitis	hypothyroid	0.04338717071701292	0.014288	0.043378	0.04364	0.041621	0.012309	0.042692	-5.817393413540701e-4
bursitis_IBS	bursitis	IBS	0.2549290457558326	0.257429	0.255447	0.256033	0.255824	0.23215	0.233886	0.21929691502613402
bursitis_IDA	bursitis	IDA	0.1999490481074863	0.142581	0.201958	0.199264	0.175031	0.138747	0.150414	0.04613447183226117
bursitis_insomnia	bursitis	insomnia	0.5160192982925529	0.50902	0.518003	0.516781	0.511224	0.457421	0.450467	0.3930526062753483
bursitis_intervert_disc	bursitis	intervert_disc	0.4996722119180012	0.475225	0.499939	0.499327	0.4932	0.450283	0.485527	0.4264494866465568
bursitis_isch_stroke_tia	bursitis	isch_stroke_tia	0.3042511105207882	0.270982	0.317106	0.305413	0.295488	0.251927	0.305427	0.2525602229296882
bursitis_migraine	bursitis	migraine	0.2410604442355616	0.240372	0.241241	0.240302	0.251631	0.214536	0.23298	0.21791513393986695
bursitis_OA	bursitis	OA	0.6444645239847492	0.633931	0.644435	0.64431	0.641354	0.620425	0.622163	0.6132238161245718
bursitis_osteoporosis	bursitis	osteoporosis	0.12349655881976311	0.164171	0.124434	0.124519	0.141461	0.115782	0.103157	0.13383814383661524
bursitis_periph_neuro	bursitis	periph_neuro	0.5913852136724418	0.572933	0.592054	0.591812	0.594927	0.546638	0.559004	0.5169208404509382
bursitis_peripheral_arterial	bursitis	peripheral_arterial	0.3579378441484631	0.309325	0.388112	0.358671	0.341468	0.258195	0.331581	0.231242693979603
bursitis_PMR	bursitis	PMR	0.19618770345328224	0.184313	0.195907	0.195919	0.19429	0.187314	0.17713	0.16433457796737952
bursitis_pri_bladder	bursitis	pri_bladder	0.26760321377575164	0.265574	0.26982	0.269536	0.278678	0.221674	0.271333	0.24173629583311104
bursitis_pri_breast	bursitis	pri_breast	-0.0641602227306182	-0.054847	-0.06422	-0.064637	-0.068067	-0.068395	-0.058426	-0.06089803206518644
bursitis_pri_colorectal	bursitis	pri_colorectal	-0.06870671141529455	-0.074558	-0.068283	-0.071308	-0.067309	-0.058236	-0.069193	-0.06482893378546709
bursitis_pri_prost	bursitis	pri_prost	-0.08526218821845012	-0.07207	-0.085152	-0.087337	-0.087681	-0.065824	-0.074773	-0.055322720156579235
bursitis_pri_skin	bursitis	pri_skin	-0.0017048974943082462	0.019477	-0.001354	-0.00181	0.004804	0.009645	-0.001019	0.024210204300337504
bursitis_psoriasis	bursitis	psoriasis	0.1784963780794098	0.149252	0.17821	0.178167	0.174347	0.125357	0.152507	0.08945294712584952
bursitis_RA	bursitis	RA	0.2199750209971345	0.1924	0.219922	0.219917	0.205908	0.147473	0.201356	0.11472996024907503
bursitis_raynauds	bursitis	raynauds	0.05329236291666609	0.076615	0.053073	0.055417	0.077385	0.02808	0.016958	0.02849208567328367
bursitis_retinal_detach	bursitis	retinal_detach	0.03327589802911062	0.047917	0.033238	0.034137	0.043733	0.057639	0.030262	0.06740086106776347
bursitis_schizo	bursitis	schizo	-0.21254195817477925	-0.195893	-0.212285	-0.212524	-0.214583	-0.265729	-0.183539	-0.2283520241521275
bursitis_scoliosis	bursitis	scoliosis	0.2067345180416293	0.22024	0.206829	0.206363	0.221106	0.202509	0.193685	0.2088124266335501
bursitis_sinusitis	bursitis	sinusitis	0.315574732916458	0.309554	0.315496	0.31794	0.3189	0.277152	0.279652	0.2512746476817807
bursitis_sleep_apnoea	bursitis	sleep_apnoea	0.15607253624203093	0.060384	0.155715	0.155041	0.140566	0.102956	0.147987	0.039971622029242225
bursitis_spondylolisthesis	bursitis	spondylolisthesis	0.3846630030515997	0.359752	0.384703	0.384165	0.378367	0.341815	0.370503	0.3165724310971631
bursitis_spondylosis	bursitis	spondylosis	0.7074301751462164	0.69989	0.708525	0.707553	0.701997	0.673961	0.686602	0.6576059282428066
bursitis_stroke_all	bursitis	stroke_all	0.2952480780930539	0.258434	0.305337	0.295723	0.288966	0.249962	0.321127	0.27302225419515164
bursitis_tendon	bursitis	tendon	0.7477683035365058	0.736104	0.748059	0.748467	0.742995	0.723974	0.723549	0.6944128298282797
bursitis_thromboembolic	bursitis	thromboembolic	0.13389850740029577	0.076572	0.134191	0.134382	0.111517	0.091523	0.115612	0.0326997507024071
bursitis_TIA	bursitis	TIA	0.2963511698947094	0.269854	0.301343	0.295838	0.287128	0.246232	0.296371	0.23944507069381052
bursitis_tinnitus	bursitis	tinnitus	0.10442066064984645	0.12479	0.104808	0.106214	0.127678	0.100906	0.065274	0.0940724150718166
bursitis_ulc_colitis	bursitis	ulc_colitis	-0.05828261446324759	-0.051959	-0.058625	-0.057454	-0.058685	-0.063447	-0.063213	-0.06365783553316987
bursitis_ulcer_peptic	bursitis	ulcer_peptic	0.3458938928701848	0.307469	0.347394	0.345327	0.33303	0.250567	0.311582	0.19559868641569184
bursitis_urine_incont	bursitis	urine_incont	0.46974487572886653	0.439252	0.469649	0.470378	0.46083	0.423862	0.456094	0.3968329083909429
bursitis_urolithiasis	bursitis	urolithiasis	0.11791186810339928	0.096111	0.118063	0.116889	0.116775	0.113736	0.116983	0.10098154850235198
bursitis_valve_nonrheumatic	bursitis	valve_nonrheumatic	0.2469471918603636	0.219283	0.255154	0.247316	0.236493	0.227477	0.233844	0.20717350335659468
carpal_tunnel_cataract	carpal_tunnel	cataract	0.11309390660664878	0.081796	0.107542	0.113629	0.101814	0.090744	0.106596	0.060092911875309435
carpal_tunnel_cholelithiasis	carpal_tunnel	cholelithiasis	0.16183934937654018	0.031891	0.15834	0.16206	0.134747	0.135154	0.161409	0.021009885934086082
carpal_tunnel_CKD	carpal_tunnel	CKD	0.11991059713471389	0.02719	0.103883	0.1199	0.098991	0.10901	0.117508	0.015143302155065737
