pair_id	baseline_abs_rg	joint_abs_rg	classification
AF_gastritis_duodenitis	0.0692010300854412	0.011829086688305422	UNSTABLE
AF_glaucoma	0.0002442525868640571	0.0007536448404673679	UNSTABLE
AF_GORD	0.16080177935260734	0.09559355507080132	ATTENUATED
AF_gout	0.20563968306939828	0.10461324552184063	ATTENUATED
AF_HF	0.5946769746803872	0.5614091762229195	ATTENUATED
AF_hypertension	0.3824167994340854	0.2794981754972799	ATTENUATED
AF_hyperthyroid	0.1733857719056214	0.15137358649202826	ATTENUATED
AF_hypothyroid	0.09914887377339256	0.06531111602902596	ATTENUATED
AF_IBS	0.042207773641358796	0.034143924818913624	UNSTABLE
AF_IDA	0.1442873972202999	0.0357539035455389	NEAR_NULL_EQUIVALENT
AF_insomnia	0.09844026674633273	0.07208587490756047	PERSISTENT
AF_intervert_disc	0.13787580466390345	0.07007674078585008	PERSISTENT
AF_isch_stroke_tia	0.4515748903844633	0.3823971473224888	ATTENUATED
AF_migraine	0.0808314140202473	0.07401003020400926	ATTENUATED
AF_OA	0.18344437695896332	0.09825469385066189	ATTENUATED
AF_osteoporosis	0.05808711622783132	0.09839039990726728	ATTENUATED
AF_periph_neuro	0.1778750860297378	0.10421626733521024	PERSISTENT
AF_peripheral_arterial	0.25928996012713407	0.12235077221643376	PERSISTENT
AF_PMR	0.1343671919397391	0.10985042052305863	PERSISTENT
AF_pri_bladder	0.10788869034271836	0.10216836971292025	UNSTABLE
AF_pri_breast	0.04182808102150366	0.05761854292938706	UNSTABLE
AF_pri_colorectal	0.020508488156693688	0.004435767411629217	UNSTABLE
AF_pri_prost	0.018201779503782167	0.013918727608549874	UNSTABLE
AF_pri_skin	0.023168805800236957	0.053991511015649564	UNSTABLE
AF_psoriasis	0.11179980517875898	0.060580797435273406	PERSISTENT
AF_RA	0.1620764860371242	0.10515261174963866	ATTENUATED
AF_raynauds	0.0197810818494662	0.029431809667297523	UNSTABLE
AF_retinal_detach	0.035218111471600776	0.049168376676448224	UNSTABLE
AF_schizo	0.03141331650181335	0.007116867981994783	UNSTABLE
AF_scoliosis	0.08400318856089405	0.09294629021560834	PERSISTENT
AF_sinusitis	0.02628853312478425	0.022783328196016944	UNSTABLE
AF_sleep_apnoea	0.24292074930416976	0.14951262423951378	ATTENUATED
AF_spondylolisthesis	0.02223476215999158	0.03009048811553412	UNSTABLE
AF_spondylosis	0.16079562645840814	0.06267232494073488	PERSISTENT
AF_stroke_all	0.4259888026099685	0.355705045086716	ATTENUATED
AF_tendon	0.05265493680679535	0.022302521343780926	UNSTABLE
AF_thromboembolic	0.1551418221867716	0.10179015194563214	ATTENUATED
AF_TIA	0.3388745539707951	0.2814891730580436	ATTENUATED
AF_tinnitus	0.03971860041878103	0.04866813772755938	UNSTABLE
AF_ulc_colitis	0.03345826961282067	0.032627788062739624	UNSTABLE
AF_ulcer_peptic	0.12857115483408485	0.029356879949609765	NEAR_NULL_EQUIVALENT
AF_urine_incont	0.09761487717005576	0.016917732787914707	NEAR_NULL_EQUIVALENT
AF_urolithiasis	0.13435055274913937	0.12270246172053896	ATTENUATED
AF_valve_nonrheumatic	0.569712767815304	0.5306738009156499	ATTENUATED
alc_problems_allergic_rhinitis	0.09666509962560298	0.13082446520852484	UNSTABLE
alc_problems_anxiety	0.37373293592180784	0.28458228557487963	ATTENUATED
alc_problems_asthma	0.19409481157513336	0.0841297283949009	PERSISTENT
alc_problems_b12_def	0.1560000626362702	0.027324736108683145	UNSTABLE
alc_problems_BPH	0.010056607785256891	0.007339545989811864	UNSTABLE
alc_problems_bursitis	0.27594584649108295	0.13285078128418049	PERSISTENT
alc_problems_carpal_tunnel	0.1202823778910987	0.004211991044715763	NEAR_NULL_EQUIVALENT
alc_problems_cataract	0.19712722367327346	0.1458252867432298	ATTENUATED
alc_problems_cholelithiasis	0.14542254844514008	0.08392039238762727	PERSISTENT
alc_problems_CKD	0.05542857389918893	0.0073730685366901316	UNSTABLE
alc_problems_COPD	0.4863636459998471	0.2475087683721397	ATTENUATED
alc_problems_coronary_heart	0.19094609711564944	0.04018948051502392	NEAR_NULL_EQUIVALENT
alc_problems_deaf	0.08225123749087286	0.02127187212142479	UNSTABLE
alc_problems_depression	0.3311811615067254	0.21153172471822337	ATTENUATED
alc_problems_diabetes_type_2	0.13620365595260947	0.07480849004157708	PERSISTENT
alc_problems_diverticuli	0.21152292686062926	0.16790162898460784	ATTENUATED
alc_problems_ED	0.2602046687173806	0.12304215963294268	PERSISTENT
alc_problems_enthesopathy_lower	0.19302246497127853	0.024529122695910892	NEAR_NULL_EQUIVALENT
alc_problems_enthesopathy_shoulder	0.22963752440010576	0.09443560224777152	PERSISTENT
alc_problems_enthesopathy_upper	0.259103250382013	0.10707270306265215	PERSISTENT
alc_problems_essential_tremor	0.007973049050735474	0.001675503537509066	UNSTABLE
